query	main_MB	main_s	proj_MB	proj_s	MB_saved	speedup
q1	425.2	0.820	419.5	0.650	5.7	1.26x
q2	95.2	0.170	95.2	0.100	0.0	1.70x
q3	425.3	0.630	423.7	0.560	1.6	1.12x
q3a	425.3	0.690	423.7	0.600	1.6	1.15x
q3b	425.3	0.660	423.7	0.580	1.6	1.14x
q4	425.2	0.660	423.7	0.590	1.5	1.12x
q5	425.7	0.720	421.0	0.680	4.7	1.06x
q6	425.2	0.750	419.5	0.640	5.7	1.17x
q7	425.7	0.730	420.0	0.680	5.7	1.07x
q8	430.8	0.740	426.0	0.700	4.8	1.06x
q9	474.2	0.870	444.7	0.740	29.5	1.18x
q9b	474.2	0.840	444.7	0.820	29.5	1.02x
q10	426.4	0.790	426.4	0.720	0.0	1.10x
q10a	426.4	0.800	426.4	0.720	0.0	1.11x
q10b	426.4	0.770	426.4	0.680	0.0	1.13x
q11	89.3	0.190	88.8	0.090	0.5	2.11x
q12	425.2	0.790	420.5	0.720	4.7	1.10x
q13	425.6	0.740	134.0	0.220	291.6	3.36x
q14	430.3	0.760	424.6	0.670	5.7	1.13x
q15	425.8	0.780	420.0	0.710	5.8	1.10x
q16	95.1	0.180	76.8	0.130	18.3	1.38x
q17	429.9	0.750	424.2	0.700	5.7	1.07x
q18	426.3	0.920	423.8	0.830	2.5	1.11x
q19	429.8	0.770	424.0	0.750	5.8	1.03x
q20	474.2	0.900	450.9	0.760	23.3	1.18x
q21	426.0	0.810	421.3	0.690	4.7	1.17x
q22	425.8	0.770	425.9	0.720	-0.1	1.07x
