# DataFusion: same run, long format (case,paradigm,variant,elapsed_ms)
# machine: apache10
# date: 2026-09-17
# data: /data/tpch-nested/1/ (SF1)
# duckdb commit: ea57efbb72 (branch prenest-3way)
# datafusion commit: 271583af3 (branch nested_data_processing)
case,paradigm,variant,elapsed_ms
q1,col_prune,,1260
q1,col_prune_fused,,1195
q1,push_shallow,,1203
q1,push_shallow_fused,,1101
q1,push_deep_scan,,1208
q1,push_deep_scan_fused,,1131
q1,flatread,,745
q1,pureflat,,779
q2,col_prune,,330
q2,col_prune_fused,,306
q2,push_shallow,,320
q2,push_shallow_fused,,311
q2,push_deep_scan,,332
q2,push_deep_scan_fused,,320
q2,flatread,,188
q2,pureflat,,175
q3,col_prune,,473
q3,col_prune_fused,,452
q3,push_shallow,,416
q3,push_shallow_fused,,417
q3,push_deep_scan,,371
q3,push_deep_scan_fused,,358
q3,flatread,,525
q3,pureflat,,398
q4,col_prune,,448
q4,col_prune_fused,,426
q4,push_shallow,,334
q4,push_shallow_fused,,345
q4,push_deep_scan,,302
q4,push_deep_scan_fused,,305
q4,flatread,,259
q4,pureflat,,265
q5,col_prune,,421
q5,col_prune_fused,,432
q5,push_shallow,,373
q5,push_shallow_fused,,341
q5,push_deep_scan,,325
q5,push_deep_scan_fused,,312
q5,flatread,,474
q5,pureflat,,495
q6,col_prune,,652
q6,col_prune_fused,,640
q6,push_shallow,,539
q6,push_shallow_fused,,505
q6,push_deep_scan,,351
q6,push_deep_scan_fused,,326
q6,flatread,,337
q6,pureflat,,271
q7,col_prune,,724
q7,col_prune_fused,,667
q7,push_shallow,,644
q7,push_shallow_fused,,583
q7,push_deep_scan,,572
q7,push_deep_scan_fused,,512
q7,flatread,,568
q7,pureflat,,600
q8,col_prune,,630
q8,col_prune_fused,,674
q8,push_shallow,,582
q8,push_shallow_fused,,587
q8,push_deep_scan,,568
q8,push_deep_scan_fused,,535
q8,flatread,,354
q8,pureflat,,353
q9,col_prune,,1095
q9,col_prune_fused,,1109
q9,push_shallow,,1141
q9,push_shallow_fused,,1058
q9,push_deep_scan,,1144
q9,push_deep_scan_fused,,1064
q9,flatread,,546
q9,pureflat,,446
q10,col_prune,,456
q10,col_prune_fused,,456
q10,push_shallow,,369
q10,push_shallow_fused,,378
q10,push_deep_scan,,329
q10,push_deep_scan_fused,,330
q10,flatread,,376
q10,pureflat,,406
q11,col_prune,,105
q11,col_prune_fused,,104
q11,push_shallow,,108
q11,push_shallow_fused,,99
q11,push_deep_scan,,108
q11,push_deep_scan_fused,,110
q11,flatread,,76
q11,pureflat,,153
q12,col_prune,,978
q12,col_prune_fused,,848
q12,push_shallow,,742
q12,push_shallow_fused,,647
q12,push_deep_scan,,450
q12,push_deep_scan_fused,,415
q12,flatread,,433
q12,pureflat,,391
q13,col_prune,,2013
q13,col_prune_fused,,2002
q13,push_shallow,,2052
q13,push_shallow_fused,,2050
q13,push_deep_scan,,2123
q13,push_deep_scan_fused,,2098
q13,flatread,,203
q13,pureflat,,294
q14,col_prune,,625
q14,col_prune_fused,,548
q14,push_shallow,,530
q14,push_shallow_fused,,467
q14,push_deep_scan,,359
q14,push_deep_scan_fused,,351
q14,flatread,,282
q14,pureflat,,203
q15,col_prune,,1189
q15,col_prune_fused,,1086
q15,push_shallow,,1027
q15,push_shallow_fused,,869
q15,push_deep_scan,,680
q15,push_deep_scan_fused,,649
q15,flatread,,528
q15,pureflat,,341
q16,col_prune,,118
q16,col_prune_fused,,114
q16,push_shallow,,111
q16,push_shallow_fused,,114
q16,push_deep_scan,,114
q16,push_deep_scan_fused,,112
q16,flatread,,94
q16,pureflat,,86
q17,col_prune,,1106
q17,col_prune_fused,,943
q17,push_shallow,,1019
q17,push_shallow_fused,,991
q17,push_deep_scan,,1085
q17,push_deep_scan_fused,,971
q17,flatread,,548
q17,pureflat,,412
q18,col_prune,,738
q18,col_prune_fused,,722
q18,push_shallow,,771
q18,push_shallow_fused,,710
q18,push_deep_scan,,746
q18,push_deep_scan_fused,,680
q18,flatread,,821
q18,pureflat,,718
q19,col_prune,,1029
q19,col_prune_fused,,889
q19,push_shallow,,909
q19,push_shallow_fused,,775
q19,push_deep_scan,,580
q19,push_deep_scan_fused,,563
q19,flatread,,466
q19,pureflat,,298
q20,col_prune,,723
q20,col_prune_fused,,672
q20,push_shallow,,639
q20,push_shallow_fused,,573
q20,push_deep_scan,,493
q20,push_deep_scan_fused,,497
q20,flatread,,364
q20,pureflat,,247
q21,col_prune,,598
q21,col_prune_fused,,569
q21,push_shallow,,471
q21,push_shallow_fused,,461
q21,push_deep_scan,,447
q21,push_deep_scan_fused,,404
q21,flatread,,903
q21,pureflat,,587
q22,col_prune,,2020
q22,col_prune_fused,,2048
q22,push_shallow,,2064
q22,push_shallow_fused,,2089
q22,push_deep_scan,,1979
q22,push_deep_scan_fused,,2009
q22,flatread,,97
q22,pureflat,,150
